[2025-04-22 09:40:55] Uploaded to table: , Rows: 44251, Status: success
[2025-04-22 09:43:16] Uploaded to table: accts_gcr, Rows: 3338, Status: success
[2025-04-22 12:46:00] Uploaded to table: accts_chg, Rows: 73738, Status: success
[2025-04-22 14:14:25] Uploaded to table: accts_sub, Rows: 23813, Status: success
[2025-04-22 14:16:06] Uploaded to table: accts_chg, Rows: 73761, Status: success
[2025-04-22 14:16:40] Uploaded to table: accts_dis, Rows: 1515, Status: success
[2025-04-22 14:17:02] Uploaded to table: accts_dor, Rows: 17488, Status: success
[2025-04-22 14:17:22] Uploaded to table: accts_gcr, Rows: 3444, Status: success
[2025-04-22 14:17:42] Uploaded to table: accts_pay, Rows: 44265, Status: success
[2025-04-22 14:18:37] Uploaded to table: accts_rev, Rows: 41884, Status: success
[2025-04-22 14:19:24] Uploaded to table: mtd, Rows: 852, Status: success
[2025-04-23 11:29:28] Uploaded to table: accts_sub, Rows: 23833, Status: success
[2025-04-23 11:30:15] Uploaded to table: accts_chg, Rows: 73776, Status: success
[2025-04-23 12:26:44] Uploaded to table: accts_dis, Rows: 1516, Status: success
[2025-04-23 12:26:59] Uploaded to table: accts_dor, Rows: 17492, Status: success
[2025-04-23 12:27:16] Uploaded to table: accts_gcr, Rows: 3578, Status: success
[2025-04-23 12:27:40] Uploaded to table: accts_pay, Rows: 44279, Status: success
[2025-04-23 12:28:27] Uploaded to table: accts_rev, Rows: 41897, Status: success
[2025-04-23 12:29:06] Uploaded to table: mtd, Rows: 852, Status: success
[2025-04-24 15:40:48] Uploaded to table: accts_sub, Rows: 23825, Status: success
[2025-04-24 15:44:38] Uploaded to table: accts_chg, Rows: 73835, Status: success
[2025-04-24 15:45:07] Uploaded to table: accts_dis, Rows: 1516, Status: success
[2025-04-24 15:46:50] Uploaded to table: accts_dor, Rows: 17477, Status: success
[2025-04-24 15:47:13] Uploaded to table: accts_gcr, Rows: 3719, Status: success
[2025-04-24 15:47:30] Uploaded to table: accts_pay, Rows: 44324, Status: success
[2025-04-24 15:48:49] Uploaded to table: accts_rev, Rows: 41941, Status: success
[2025-04-24 15:49:38] Uploaded to table: mtd, Rows: 852, Status: success
[2025-04-28 16:37:13] Uploaded to table: accts_sub, Rows: 23857, Status: success
[2025-04-28 16:38:27] Uploaded to table: accts_chg, Rows: 73858, Status: success
[2025-04-28 16:39:28] Uploaded to table: accts_dis, Rows: 1516, Status: success
[2025-04-28 16:40:39] Uploaded to table: accts_dor, Rows: 17485, Status: success
[2025-04-28 16:41:10] Uploaded to table: accts_gcr, Rows: 4008, Status: success
[2025-04-28 16:41:58] Uploaded to table: accts_pay, Rows: 44332, Status: success
[2025-04-28 16:43:09] Uploaded to table: accts_rev, Rows: 41946, Status: success
[2025-04-28 16:44:06] Uploaded to table: mtd, Rows: 852, Status: success
[2025-04-30 15:45:10] Uploaded to table: accts_sub, Rows: 23902, Status: success
[2025-04-30 15:45:47] Uploaded to table: accts_chg, Rows: 73901, Status: success
[2025-04-30 15:46:13] Uploaded to table: accts_dis, Rows: 1517, Status: success
[2025-04-30 15:46:33] Uploaded to table: accts_dor, Rows: 17519, Status: success
[2025-04-30 15:46:49] Uploaded to table: accts_gcr, Rows: 4279, Status: success
[2025-04-30 15:47:17] Uploaded to table: accts_pay, Rows: 44376, Status: success
[2025-04-30 15:48:37] Uploaded to table: accts_rev, Rows: 41991, Status: success
[2025-04-30 15:48:50] Uploaded to table: mtd, Rows: 852, Status: success
[2025-05-09 16:21:21] Uploaded to table: accts_sub, Rows: 23673, Status: success
[2025-05-09 16:21:55] Uploaded to table: accts_chg, Rows: 74134, Status: success
